Date,Open,High,Low,Close,Adj Close,Volume
2022-02-27,2466.735596,2511.644287,2317.335693,2345.002441,2345.002441,14445714348
2022-02-28,2344.439209,2610.910400,2316.643311,2603.092529,2603.092529,17179873150
2022-03-01,2603.604980,2716.282471,2567.195557,2670.120850,2670.120850,16849401677
2022-03-02,2670.109131,2722.371338,2623.390869,2654.782227,2654.782227,14971035736
2022-03-03,2654.816406,2670.560059,2534.248291,2561.444580,2561.444580,11830216097
2022-03-04,2561.912842,2562.083740,2366.557861,2394.415039,2394.415039,13263133538
2022-03-05,2395.620605,2451.089355,2375.965332,2438.701660,2438.701660,7387371431
2022-03-06,2438.804443,2446.760254,2349.742676,2349.742676,2349.742676,8160041809
2022-03-07,2349.981934,2416.802002,2262.935303,2298.638916,2298.638916,13430598804
2022-03-08,2298.593018,2391.236572,2292.614014,2364.462158,2364.462158,12775882900
2022-03-09,2364.845703,2518.291748,2361.575684,2465.147461,2465.147461,12799613580
2022-03-10,2464.545166,2464.545166,2319.723145,2368.094971,2368.094971,12069502847
2022-03-11,2368.297119,2418.143066,2305.473877,2345.209961,2345.209961,11345441471
2022-03-12,2345.299316,2388.159912,2344.810303,2359.128906,2359.128906,5985884243
2022-03-13,2357.968750,2377.266602,2291.580811,2304.254883,2304.254883,7896294987
2022-03-14,2303.835693,2371.163330,2293.180664,2367.468750,2367.468750,10275525213
2022-03-15,2367.443848,2430.131836,2287.787354,2389.115234,2389.115234,11727064766
2022-03-16,2389.004883,2520.275879,2380.607422,2515.069336,2515.069336,16254271603
2022-03-17,2514.986328,2546.896240,2493.904541,2536.099365,2536.099365,11429043382
2022-03-18,2535.721191,2690.108643,2502.894775,2661.806641,2661.806641,14306903686
2022-03-19,2661.245117,2693.115479,2630.590820,2662.632813,2662.632813,10462043321
2022-03-20,2662.895264,2672.310303,2554.049316,2590.363037,2590.363037,11486984633
2022-03-21,2590.040771,2674.340576,2568.673340,2630.493408,2630.493408,13802591583
2022-03-22,2630.309570,2766.900391,2627.925781,2695.607178,2695.607178,15259509376
2022-03-23,2695.619873,2760.474609,2659.799316,2754.082031,2754.082031,14545854451
2022-03-24,2754.076416,2837.954346,2743.554688,2823.304443,2823.304443,16414901737
2022-03-25,2823.656006,2893.581055,2809.835938,2828.468750,2828.468750,15505422213
2022-03-26,2828.226807,2864.788086,2814.952393,2861.468506,2861.468506,8080862655
2022-03-27,2862.029785,2997.369873,2849.468506,2997.369873,2997.369873,12231299712
2022-03-28,2998.048096,3118.209717,2987.029785,3035.676758,3035.676758,18760527352
2022-03-29,3034.208984,3125.586426,3034.208984,3067.300293,3067.300293,17611635257
2022-03-30,3066.884033,3079.747803,3016.031494,3032.952637,3032.952637,13710372183
2022-03-31,3033.070313,3093.511719,2955.911621,2963.566406,2963.566406,15971311331
2022-04-01,2966.335205,3138.632813,2915.351563,3127.429688,3127.429688,19232487424
